NGC1502;04h07.8m;+62d20m;Cael;Open Clus; 6.0;20m      ;Jolly Roger      
NGC1535;04h14.3m;-12d44m;Equu;Plnty Neb; 9.1;48m-42m  ;Cleopatrams Eye  
NGC1528;04h15.3m;+51d13m;Pega;Open Clus; 6.2;18m      ;m&m Double       
NGC1545;04h20.9m;+50d15m;Pega;Open Clus; 6.6;12m      ;m&m Double       
NGC1647;04h45.7m;+19d07m;Sext;Open Clus; 6.2;40m      ;Pirate Moon      
IC418  ;05h27.5m;-12d42m;LeMi;Plnty Neb; 9.1;14m-11m  ;Spirograph Nebula
Cr69   ;05h35.0m;+09d56m;Ophi;Open Clus; 3.0;70m      ;Lambda Orionis   
NGC1981;05h35.2m;-04d26m;Ophi;Open Clus; 3.7;28m      ;Coal Car Cluster 
Cr72   ;05h35.4m;-05d55m;Ophi;Open Clus; 3.0;15m      ;Lost Jewel Orion 
NGC1977;05h35.5m;-04d52m;Ophi;Brigt Neb; 6.3;20m-10m  ;Mermaidms Purse  
NGC1999;05h36.5m;-06d42m;Ophi;Brigt Neb; 9.5;2m-2m    ;13th Pearl       
NGC2024;05h41.9m;-01d51m;Ophi;Brigt Neb; 7.2;30m-30m  ;Lips             
NGC2163;06h07.8m;+18d39m;Ophi;Brigt Neb;10.0;3m-2m    ;Cederblad 62     
NGC2169;06h08.4m;+13d58m;Ophi;Open Clus; 5.9;6m       ;Shopping Cart    
NGC2175;06h09.7m;+20d30m;Ophi;Brigt Neb; 6.9;40m      ;None             
NGC2264;06h41.0m;+09d54m;Micr;Open Clus; 4.4;40m      ;Christmas Tree   
NGC2301;06h51.8m;+00d28m;Micr;Open Clus; 6.0;15m      ;Hagridms Dragon  
NGC2353;07h14.5m;-10d16m;Micr;Open Clus; 6.0;18m      ;Averyms Island   
NGC2440;07h41.9m;-18d12m;PicA;Plnty Neb; 9.1;74m-42m  ;Albino Butterfly 
NGC2451;07h45.4m;-37d57m;PicA;Asterism ; 2.7;50m      ;S. Scorpion      
NGC2467;07h52.5m;-26d24m;PicA;Brigt Neb; 8.0;16m-12m  ;None             
NGC2547;08h10.2m;-49d13m;UrMi;Open Clus; 5.0;25m      ;Golden Earring   
NGC2539;08h10.6m;-12d49m;PicA;Open Clus; 6.5;15m      ;The Dish         
NGC2546;08h12.4m;-37d37m;PicA;Open Clus; 5.3;70m      ;Heart&Dagger     
NGC2683;08h52.7m;+33d25m;Lupu;Galaxy   ; 9.7;9.1m-2.7m;UFO              
NGC2655;08h55.6m;+78d13m;Cael;Galaxy   ;10.2;5.9m-5.3m;None             
NGC2841;09h22.0m;+50d59m;Tuca;Galaxy   ; 9.0;6.6m-3.4m;Cats Eye         
IC2488 ;09h27.4m;-56d57m;UrMi;Open Clus; 6.0;18m      ;Lacaille         
NGC2903;09h32.2m;+21d30m;Leo ;Galaxy   ; 9.0;11.6m-5.7;None             
NGC3184;10h18.3m;+41d25m;Tuca;Galaxy   ; 9.4;7.5m-7m  ;Little Pinwheel  
NGC3228;10h21.4m;-51d43m;UrMi;Open Clus; 6.0;5m       ;Lacaille         
NGC3293;10h35.8m;-58d13m;Capr;Open Clus; 4.6;5m       ;Lacaille         
NGC3344;10h43.5m;+24d55m;Libr;Galaxy   ; 9.3;6.7m-6.3m;Sliced Onion     
NGC3521;11h05.8m;-00d02m;Leo ;Galaxy   ; 9.1;11.7m-6.5;None             
NGC3621;11h18.3m;-32d49m;Horo;Galaxy   ; 8.5;9.8m-4.6m;Frame            
NGC3628;11h20.3m;+13d35m;Leo ;Galaxy   ; 9.5;14.8m-3.3;Kg Hamletms Ghost
NGC4214;12h15.6m;+36d20m;Crux;Galaxy   ; 9.1;9.6m-8.1m;None             
NGC4216;12h15.9m;+13d09m;Vela;Galaxy   ;10.0;7.9m-1.7m;Silver Streak    
NGC4361;12h24.5m;-18d47m;Crux;Plnty Neb;10.2;1.9m-1.9m;None             
Mel111 ;12h25.1m;+26d07m;Colu;Open Clus; 1.6;300m     ;Coma Berenices   
NGC4490;12h30.6m;+41d39m;Crux;Galaxy   ; 9.5;5.6m     ;Cocoon           
IC3568 ;12h33.1m;+82d34m;Cael;Plnty Neb;10.3;18m-18m  ;Theoreticianms   
NGC4526;12h34.0m;+07d42m;Vela;Galaxy   ; 9.9;7.4m-2.7m;Hairy Eyebrow    
NGC4605;12h40.0m;+61d36m;Tuca;Galaxy   ;10.3;5.7m-2.5m;Fabergem Egg     
NGC4656;12h44.0m;+32d10m;Crux;Galaxy   ;10.5;18.8m-3.2;MessiermsHockStic
NGC4699;12h49.0m;-08d40m;Vela;Galaxy   ; 9.5;3.1m-2.5m;Vinyl LP         
NGC4725;12h50.4m;+25d30m;Colu;Galaxy   ; 9.2;10.5m-8.1;None             
NGC5102;13h22.0m;-36d38m;Cass;Galaxy   ; 9.3;8.3m-3.5m;Iotams Ghost     
NGC5281;13h46.6m;-62d55m;Cass;Open Clus; 6.1;8m       ;Lacaille         
NGC5363;13h56.1m;+05d15m;Vela;Galaxy   ;10.1;4.7m-3.2m;None             
NGC5662;14h35.5m;-56d40m;Cass;Open Clus; 5.5;30m      ;Lacaille         
